Date,Price,Volume
2017-03-01,1222.50,229056992.00
2017-03-02,1251.01,368275008.00
2017-03-03,1274.99,315739008.00
2017-03-04,1255.15,183270000.00
2017-03-05,1267.12,134127000.00
2017-03-06,1272.83,153656992.00
2017-03-07,1223.54,291256000.00
2017-03-08,1150.00,332603008.00
2017-03-09,1188.49,212283008.00
2017-03-10,1116.72,563795968.00
2017-03-11,1175.83,283320000.00
2017-03-12,1221.38,227176000.00
2017-03-13,1231.92,380276992.00
2017-03-14,1240.00,245306000.00
2017-03-15,1249.61,297804992.00
2017-03-16,1187.81,638568000.00
2017-03-17,1100.23,706598976.00
2017-03-18,973.82,621302016.00
2017-03-19,1036.74,406648000.00
2017-03-20,1054.23,286529984.00
2017-03-21,1120.54,337391008.00
2017-03-22,1049.14,380840992.00
2017-03-23,1038.59,248540000.00
2017-03-24,937.52,491038016.00
2017-03-25,972.78,435803008.00
2017-03-26,966.72,303668000.00
2017-03-27,1045.77,372535008.00
2017-03-28,1047.15,326332000.00
2017-03-29,1039.97,298457984.00
2017-03-30,1026.43,352968992.00
2017-03-31,1071.79,447287008.00
2017-04-01,1080.50,289633984.00
2017-04-02,1102.17,514187008.00
2017-04-03,1143.81,580444032.00
2017-04-04,1133.25,436310016.00
2017-04-05,1124.78,414784000.00
2017-04-06,1182.68,511222016.00
2017-04-07,1176.90,317022016.00
2017-04-08,1175.95,209312000.00
2017-04-09,1187.87,242343008.00
2017-04-10,1187.13,215883008.00
2017-04-11,1205.01,216182000.00
2017-04-12,1200.37,288702016.00
2017-04-13,1169.28,351968992.00
2017-04-14,1167.54,254827008.00
2017-04-15,1172.52,203559008.00
2017-04-16,1182.94,183231008.00
2017-04-17,1193.91,253206000.00
2017-04-18,1211.67,270524000.00
2017-04-19,1210.29,288060992.00
2017-04-20,1229.08,315108000.00
2017-04-21,1222.05,272167008.00
2017-04-22,1231.71,249320000.00
2017-04-23,1207.21,258951008.00
2017-04-24,1250.15,235806000.00
2017-04-25,1265.49,242556000.00
2017-04-26,1281.08,329631008.00
2017-04-27,1317.73,449196992.00
2017-04-28,1316.48,527488992.00
2017-04-29,1321.79,422705984.00
2017-04-30,1347.89,413115008.00
2017-05-01,1421.60,713624000.00
2017-05-02,1452.82,477337984.00
2017-05-03,1490.09,583795968.00
2017-05-04,1537.67,933548992.00
2017-05-05,1555.45,946035968.00
2017-05-06,1578.80,582529984.00
2017-05-07,1596.71,1080029952.00
2017-05-08,1723.35,1340320000.00
2017-05-09,1755.36,1167920000.00
2017-05-10,1787.13,915723008.00
2017-05-11,1848.57,799489984.00
2017-05-12,1724.24,740984000.00
2017-05-13,1804.91,579635008.00
2017-05-14,1808.91,437196000.00
2017-05-15,1738.43,731529024.00
2017-05-16,1734.45,959044992.00
2017-05-17,1839.09,1064729984.00
2017-05-18,1888.65,894321024.00
2017-05-19,1987.71,1157289984.00
2017-05-20,2084.73,961336000.00
2017-05-21,2041.20,1147859968.00
2017-05-22,2173.40,1942220032.00
2017-05-23,2320.42,1378749952.00
2017-05-24,2443.64,1725379968.00
2017-05-25,2304.98,2406700032.00
2017-05-26,2202.42,1763480064.00
2017-05-27,2038.87,1700480000.00
2017-05-28,2155.80,1147139968.00
2017-05-29,2255.61,994625024.00
2017-05-30,2175.47,1443970048.00
2017-05-31,2286.41,1544829952.00
2017-06-01,2407.88,1653180032.00
2017-06-02,2488.55,1317030016.00
2017-06-03,2515.35,1514950016.00
2017-06-04,2511.81,1355120000.00
2017-06-05,2686.81,1369309952.00
2017-06-06,2863.20,2089609984.00
2017-06-07,2732.16,1517709952.00
2017-06-08,2805.62,1281170048.00
2017-06-09,2823.81,1348950016.00
2017-06-10,2947.71,2018889984.00
2017-06-11,2958.11,1752400000.00
2017-06-12,2659.63,2569530112.00
2017-06-13,2717.02,1781200000.00
2017-06-14,2506.37,1696560000.00
2017-06-15,2464.58,2026259968.00
2017-06-16,2518.56,1195190016.00
2017-06-17,2655.88,1534509952.00
2017-06-18,2548.29,1178659968.00
2017-06-19,2589.60,1446840064.00
2017-06-20,2721.79,1854189952.00
2017-06-21,2689.10,1626579968.00
2017-06-22,2705.41,1097939968.00
2017-06-23,2744.91,961318976.00
2017-06-24,2608.72,982750016.00
2017-06-25,2589.41,1161100032.00
2017-06-26,2478.45,1663280000.00
2017-06-27,2552.45,1489789952.00
2017-06-28,2574.79,1183869952.00
2017-06-29,2539.32,949979008.00
2017-06-30,2480.84,860273024.00
2017-07-01,2434.55,779913984.00
2017-07-02,2506.47,803747008.00
2017-07-03,2564.06,964112000.00
2017-07-04,2601.64,985516032.00
2017-07-05,2601.99,941566016.00
2017-07-06,2608.56,761956992.00
2017-07-07,2518.66,917411968.00
2017-07-08,2571.34,733329984.00
2017-07-09,2518.44,527856000.00
2017-07-10,2372.56,1111200000.00
2017-07-11,2337.79,1329760000.00
2017-07-12,2398.84,1117410048.00
2017-07-13,2357.90,835769984.00
2017-07-14,2233.34,882502976.00
2017-07-15,1998.86,993608000.00
2017-07-16,1929.82,1182870016.00
2017-07-17,2228.41,1201760000.00
2017-07-18,2318.88,1512450048.00
2017-07-19,2273.43,1245100032.00
2017-07-20,2817.60,2249260032.00
2017-07-21,2667.76,1489449984.00
2017-07-22,2810.12,1177129984.00
2017-07-23,2730.40,1072840000.00
2017-07-24,2754.86,866473984.00
2017-07-25,2576.48,1460089984.00
2017-07-26,2529.45,937404032.00
2017-07-27,2671.78,789104000.00
2017-07-28,2809.01,1380099968.00
2017-07-29,2726.45,803745984.00
2017-07-30,2757.18,705942976.00
2017-07-31,2875.34,860574976.00
2017-08-01,2718.26,1324669952.00
2017-08-02,2710.67,1094950016.00
2017-08-03,2804.73,804796992.00
2017-08-04,2895.89,1002120000.00
2017-08-05,3252.91,1945699968.00
2017-08-06,3213.94,1105030016.00
2017-08-07,3378.94,1482279936.00
2017-08-08,3419.94,1752760064.00
2017-08-09,3342.47,1468960000.00
2017-08-10,3381.28,1515110016.00
2017-08-11,3650.62,2021190016.00
2017-08-12,3884.71,2219589888.00
2017-08-13,4073.26,3159089920.00
2017-08-14,4325.13,2463089920.00
2017-08-15,4181.93,3258050048.00
2017-08-16,4376.63,2272039936.00
2017-08-17,4331.69,2553359872.00
2017-08-18,4160.62,2941710080.00
2017-08-19,4193.70,2975820032.00
2017-08-20,4087.66,2109769984.00
2017-08-21,4001.74,2800890112.00
2017-08-22,4100.52,3764239872.00
2017-08-23,4151.52,2369819904.00
2017-08-24,4334.68,2037750016.00
2017-08-25,4371.60,1727970048.00
2017-08-26,4352.40,1511609984.00
2017-08-27,4382.88,1537459968.00
2017-08-28,4382.66,1959330048.00
2017-08-29,4579.02,2486080000.00
2017-08-30,4565.30,1937849984.00
2017-08-31,4703.39,1944930048.00
2017-09-01,4892.01,2599079936.00
2017-09-02,4578.77,2722139904.00
2017-09-03,4582.96,1933190016.00
2017-09-04,4236.31,2987330048.00
2017-09-05,4376.53,2697969920.00
2017-09-06,4597.12,2172100096.00
2017-09-07,4599.88,1844620032.00
2017-09-08,4228.75,2700890112.00
2017-09-09,4226.06,1386230016.00
2017-09-10,4122.94,1679090048.00
2017-09-11,4161.27,1557330048.00
2017-09-12,4130.81,1864530048.00
2017-09-13,3882.59,2219409920.00
2017-09-14,3154.95,2716310016.00
2017-09-15,3637.52,4148069888.00
2017-09-16,3625.04,1818400000.00
2017-09-17,3582.88,1239149952.00
2017-09-18,4065.20,1943209984.00
2017-09-19,3924.97,1563980032.00
2017-09-20,3905.95,1213830016.00
2017-09-21,3631.04,1411480064.00
2017-09-22,3630.70,1194829952.00
2017-09-23,3792.40,928113984.00
2017-09-24,3682.84,768014976.00
2017-09-25,3926.07,1374210048.00
2017-09-26,3892.35,1043740032.00
2017-09-27,4200.67,1686880000.00
2017-09-28,4174.73,1712320000.00
2017-09-29,4163.07,1367049984.00
2017-09-30,4338.71,1207449984.00
2017-10-01,4403.74,1208210048.00
2017-10-02,4409.32,1431730048.00
2017-10-03,4317.48,1288019968.00
2017-10-04,4229.36,1116770048.00
2017-10-05,4328.41,1161769984.00
2017-10-06,4370.81,1069939968.00
2017-10-07,4426.89,906928000.00
2017-10-08,4610.48,1313869952.00
2017-10-09,4772.02,1968739968.00
2017-10-10,4781.99,1597139968.00
2017-10-11,4826.48,1222279936.00
2017-10-12,5446.91,2791610112.00
2017-10-13,5647.21,3615480064.00
2017-10-14,5831.79,1669030016.00
2017-10-15,5678.19,1976039936.00
2017-10-16,5725.59,2008070016.00
2017-10-17,5605.51,1821570048.00
2017-10-18,5590.69,2399269888.00
2017-10-19,5708.52,1780540032.00
2017-10-20,6011.45,2354429952.00
2017-10-21,6031.60,2207099904.00
2017-10-22,6008.42,2034630016.00
2017-10-23,5930.32,2401840128.00
2017-10-24,5526.64,2735699968.00
2017-10-25,5750.80,1966989952.00
2017-10-26,5904.83,1905040000.00
2017-10-27,5780.90,1710130048.00
2017-10-28,5753.09,1403920000.00
2017-10-29,6153.85,2859040000.00
2017-10-30,6130.53,1772150016.00
2017-10-31,6468.40,2311379968.00
2017-11-01,6767.31,2870320128.00
2017-11-02,7078.50,4653770240.00
2017-11-03,7207.76,3369860096.00
2017-11-04,7379.95,2483800064.00
2017-11-05,7407.41,2380410112.00
2017-11-06,7022.76,3111899904.00
2017-11-07,7144.38,2326340096.00
2017-11-08,7459.69,4602200064.00
2017-11-09,7143.58,3226249984.00
2017-11-10,6618.14,5208249856.00
2017-11-11,6357.60,4908680192.00
2017-11-12,5950.07,8957349888.00
2017-11-13,6559.49,6263249920.00
2017-11-14,6635.75,3197110016.00
2017-11-15,7315.54,4200880128.00
2017-11-16,7871.69,5123809792.00
2017-11-17,7708.99,4651670016.00
2017-11-18,7790.15,3667190016.00
2017-11-19,8036.49,3149319936.00
2017-11-20,8200.64,3488450048.00
2017-11-21,8071.26,4277609984.00
2017-11-22,8253.55,3633530112.00
2017-11-23,8038.77,4225179904.00
2017-11-24,8253.69,5058610176.00
2017-11-25,8790.92,4342060032.00
2017-11-26,9330.55,5475579904.00
2017-11-27,9818.35,5653320192.00
2017-11-28,10058.80,6348819968.00
2017-11-29,9888.61,11568799744.00
2017-11-30,10233.60,8310689792.00
2017-12-01,10975.60,6783119872.00
2017-12-02,11074.60,5138500096.00
2017-12-03,11323.20,6608309760.00
2017-12-04,11657.20,6132409856.00
2017-12-05,11916.70,6895260160.00
2017-12-06,14291.50,12656300032.00
2017-12-07,17899.70,17950699520.00
2017-12-08,16569.40,21135998976.00
2017-12-09,15178.20,13911300096.00
2017-12-10,15455.40,13433299968.00
2017-12-11,16936.80,12153900032.00
2017-12-12,17415.40,14603799552.00
2017-12-13,16408.20,12976900096.00
2017-12-14,16564.00,13777399808.00
2017-12-15,17706.90,14309999616.00
2017-12-16,19497.40,12740599808.00
2017-12-17,19140.80,13314599936.00
2017-12-18,19114.20,14839499776.00
2017-12-19,17776.70,16894499840.00
2017-12-20,16624.60,22149699584.00
2017-12-21,15802.90,16516599808.00
2017-12-22,13831.80,22197999616.00
2017-12-23,14699.20,13086000128.00
2017-12-24,13925.80,11572299776.00
2017-12-25,14026.60,10664699904.00
2017-12-26,16099.80,13454300160.00
2017-12-27,15838.50,12487600128.00
2017-12-28,14606.50,12336499712.00
2017-12-29,14656.20,13025500160.00
2017-12-30,12952.20,14452599808.00
2017-12-31,14156.40,12136299520.00
2018-01-01,13657.20,10291200000.00
2018-01-02,14982.10,16846600192.00
2018-01-03,15201.00,16871900160.00
2018-01-04,15599.20,21783199744.00
2018-01-05,17429.50,23840899072.00
2018-01-06,17527.00,18314600448.00
2018-01-07,16477.60,15866000384.00
2018-01-08,15170.10,18413899776.00
2018-01-09,14595.40,16659999744.00
2018-01-10,14973.30,18500800512.00
2018-01-11,13405.80,16534099968.00
2018-01-12,13980.60,12065699840.00
2018-01-13,14360.20,12763599872.00
2018-01-14,13772.00,11084099584.00
2018-01-15,13819.80,12750799872.00
2018-01-16,11490.50,18853799936.00
2018-01-17,11188.60,18830600192.00
2018-01-18,11474.90,15020399616.00
2018-01-19,11607.40,10740400128.00
2018-01-20,12899.20,11801700352.00
2018-01-21,11600.10,9935179776.00
2018-01-22,10931.40,10537400320.00
2018-01-23,10868.40,9660609536.00
2018-01-24,11359.40,9940989952.00
2018-01-25,11259.40,8873169920.00
2018-01-26,11171.40,9746199552.00
2018-01-27,11440.70,7583269888.00
2018-01-28,11786.30,8350360064.00
2018-01-29,11296.40,7107359744.00
2018-01-30,10106.30,8637859840.00
2018-01-31,10221.10,8041160192.00
2018-02-01,9170.54,9959400448.00
2018-02-02,8830.75,12726899712.00
2018-02-03,9174.91,7263790080.00
2018-02-04,8277.01,7073549824.00
2018-02-05,6955.27,9285289984.00
2018-02-06,7754.00,13999800320.00
2018-02-07,7621.30,9169280000.00
2018-02-08,8265.59,9346750464.00
2018-02-09,8736.98,6784820224.00
2018-02-10,8621.90,7780960256.00
2018-02-11,8129.97,6122189824.00
2018-02-12,8926.57,6256439808.00
2018-02-13,8598.31,5696719872.00
2018-02-14,9494.63,7909819904.00
2018-02-15,10166.40,9062540288.00
2018-02-16,10233.90,7296159744.00
2018-02-17,11112.70,8660880384.00
2018-02-18,10551.80,8744009728.00
2018-02-19,11225.30,7652089856.00
2018-02-20,11403.70,9926540288.00
2018-02-21,10690.40,9405339648.00
2018-02-22,10005.00,8040079872.00
2018-02-23,10301.10,7739500032.00
2018-02-24,9813.07,6917929984.00
2018-02-25,9664.73,5706939904.00
2018-02-26,10366.70,7287690240.00
2018-02-27,10725.60,6966179840.00
2018-02-28,10397.90,6936189952.00
2018-03-01,10951.00,7317279744.00
2018-03-02,11086.40,7620590080.00
2018-03-03,11489.70,6690570240.00
2018-03-04,11512.60,6084149760.00
2018-03-05,11573.30,6468539904.00
2018-03-06,10779.90,6832169984.00
2018-03-07,9965.57,8797910016.00
2018-03-08,9395.01,7186089984.00
2018-03-09,9337.55,8704190464.00
2018-03-10,8866.00,5386319872.00
2018-03-11,9578.63,6296370176.00
2018-03-12,9205.12,6457399808.00
2018-03-13,9194.85,5991139840.00
2018-03-14,8269.81,6438230016.00
2018-03-15,8300.86,6834429952.00
2018-03-16,8338.35,5289379840.00
2018-03-17,7916.88,4426149888.00
2018-03-18,8223.68,6639190016.00
2018-03-19,8630.65,6729110016.00
2018-03-20,8913.47,6361789952.00
2018-03-21,8929.28,6043129856.00
2018-03-22,8728.47,5530390016.00
2018-03-23,8879.62,5954120192.00
2018-03-24,8668.12,5664600064.00
2018-03-25,8495.78,4569880064.00
2018-03-26,8209.40,5921039872.00
2018-03-27,7833.04,5378250240.00
2018-03-28,7954.48,4935289856.00
2018-03-29,7165.70,6361229824.00
2018-03-30,6890.52,6289509888.00
2018-03-31,6973.53,4553269760.00
2018-04-01,6844.23,4532100096.00
2018-04-02,7083.80,4333440000.00
2018-04-03,7456.11,5499700224.00
2018-04-04,6853.84,4936000000.00
2018-04-05,6811.47,5639320064.00
2018-04-06,6636.32,3766810112.00
2018-04-07,6911.09,3976610048.00
2018-04-08,7023.52,3652499968.00
2018-04-09,6770.73,4894060032.00
2018-04-10,6834.76,4272750080.00
2018-04-11,6968.32,4641889792.00
2018-04-12,7889.25,8906250240.00
2018-04-13,7895.96,7764460032.00
2018-04-14,7986.24,5191430144.00
2018-04-15,8329.11,5244480000.00
2018-04-16,8058.67,5631309824.00
2018-04-17,7902.09,6900879872.00
2018-04-18,8163.42,6529909760.00
2018-04-19,8294.31,7063209984.00
2018-04-20,8845.83,8438110208.00
2018-04-21,8895.58,7548550144.00
2018-04-22,8802.46,6629899776.00
2018-04-23,8930.88,6925190144.00
2018-04-24,9697.50,10678800384.00
2018-04-25,8845.74,11083100160.00
2018-04-26,9281.51,8970559488.00
2018-04-27,8987.05,7566289920.00
2018-04-28,9348.48,7805479936.00
2018-04-29,9419.08,8853000192.00
2018-04-30,9240.55,8673920000.00
2018-05-01,9119.01,7713019904.00
2018-05-02,9235.92,7558159872.00
2018-05-03,9743.86,10207299584.00
2018-05-04,9700.76,8217829888.00
2018-05-05,9858.15,7651939840.00
2018-05-06,9654.80,7222280192.00
2018-05-07,9373.01,7394019840.00
2018-05-08,9234.82,7415869952.00
2018-05-09,9325.18,7226890240.00
2018-05-10,9043.94,6906699776.00
2018-05-11,8441.49,8488520192.00
2018-05-12,8504.89,6821380096.00
2018-05-13,8723.94,5866379776.00
2018-05-14,8716.79,7364149760.00
2018-05-15,8510.38,6705710080.00
2018-05-16,8368.83,6760220160.00
2018-05-17,8094.32,5862530048.00
2018-05-18,8250.97,5764190208.00
2018-05-19,8247.18,4712399872.00
2018-05-20,8513.25,5191059968.00
2018-05-21,8418.99,5154990080.00
2018-05-22,8041.78,5137010176.00
2018-05-23,7557.82,6491120128.00
2018-05-24,7587.34,6049220096.00
2018-05-25,7480.14,4867829760.00
2018-05-26,7355.88,4051539968.00
2018-05-27,7368.22,4056519936.00
2018-05-28,7135.99,5040600064.00
2018-05-29,7472.59,5662660096.00
2018-05-30,7406.52,4922540032.00
2018-05-31,7494.17,5127130112.00
2018-06-01,7541.45,4921460224.00
2018-06-02,7643.45,4939299840.00
2018-06-03,7720.25,4851760128.00
2018-06-04,7514.47,4993169920.00
2018-06-05,7633.76,4961739776.00
2018-06-06,7653.98,4692259840.00
2018-06-07,7678.24,4485799936.00
2018-06-08,7624.92,4227579904.00
2018-06-09,7531.98,3845220096.00
2018-06-10,6786.02,5804839936.00
2018-06-11,6906.92,4745269760.00
2018-06-12,6582.36,4654380032.00
2018-06-13,6349.90,5052349952.00
2018-06-14,6675.35,5138710016.00
2018-06-15,6456.58,3955389952.00
2018-06-16,6550.16,3194170112.00
2018-06-17,6499.27,3104019968.00
2018-06-18,6734.82,4039200000.00
2018-06-19,6769.94,4057029888.00
2018-06-20,6776.55,3888640000.00
2018-06-21,6729.74,3529129984.00
2018-06-22,6083.69,5079810048.00
2018-06-23,6162.48,3431360000.00
2018-06-24,6173.23,4566909952.00
2018-06-25,6249.18,5500810240.00
2018-06-26,6093.67,3279759872.00
2018-06-27,6157.13,3296219904.00
2018-06-28,5903.44,3467800064.00
2018-06-29,6218.30,3966230016.00
2018-06-30,6404.00,4543860224.00
2018-07-01,6385.82,4788259840.00
2018-07-02,6614.18,4396930048.00
2018-07-03,6529.59,4672309760.00
2018-07-04,6597.55,4176689920.00
2018-07-05,6639.14,4999240192.00
2018-07-06,6673.50,4313959936.00
2018-07-07,6856.93,3961080064.00
2018-07-08,6773.88,3386210048.00
2018-07-09,6741.75,3718129920.00
